Club,2025
Adelaide,81067
Brisbane,75138
Carlton,100743
Collingwood,112491
Essendon,85568
Fremantle,86179
Geelong,92379
Gold Coast,30107
G.Western Sydney,37754
Hawthorn,87204
Melbourne,58563
North Melbourne,56731
Port Adelaide,72656
Richmond,107331
St Kilda,65509
Sydney,78671
West Coast,106422
Western Bulldogs,76584
